,Coefficients
OpenPorchSF,0.001055997442736262
LowQualFinSF,-0.0012567067238562536
LotFrontage,0.0017453170765106085
1stFlrSF,0.0018690623050728052
3SsnPorch,0.0020851651239360723
BsmtExposure_No,-0.0026543584899509183
HalfBath,0.004574706381881331
WoodDeckSF,0.0052128326974987035
TotRmsAbvGrd,0.008117308325351074
KitchenAbvGr,-0.010864116701957714
BsmtFullBath,0.0116174171924533
ScreenPorch,0.013123404308377377
FireplaceQu_Gd,0.014124216586720641
HeatingQC_TA,-0.0164430879145085
Condition1_Norm,0.017828092017961778
Fireplaces,0.018049691363307207
GarageArea,0.020034447881153696
YrsSinceRemodel,-0.020894763432749725
LotArea,0.021651563688188963
MSZoning_RL,0.025716204980019284
MSZoning_RM,-0.025909680392960877
SaleType_New,0.02686805782630613
Foundation_PConc,0.02829395005359832
GarageCars,0.03046520147765407
BsmtFinSF1,0.031962402791814434
TotalBsmtSF,0.05128605699412999
OverallCond,0.05355934802384774
AgeHome,-0.06972386460639815
OverallQual,0.09389515878448744
GrLivArea,0.12761065372926222
